date,query,product,position,impressions,clicks,add_to_cart,purchases,revenue,rating,review_count,price,category
2025-01-01,wireless headphones,Sony WH-1000XM5,1,471,72,12,6,244.89,4.5,4477,35.21,wireless headphones
2025-01-01,wireless headphones,Apple AirPods Max,2,304,20,6,1,58.04,4.1,4474,131.66,wireless headphones
2025-01-01,wireless headphones,Bose QC Ultra,3,229,22,7,3,48.61,4.4,2797,90.58,wireless headphones
2025-01-01,wireless headphones,JBL Tune 770,4,172,13,2,0,0.0,4.7,4955,86.71,wireless headphones
2025-01-01,wireless headphones,Skullcandy Crusher,5,134,8,1,0,0.0,4.1,2972,177.43,wireless headphones
2025-01-01,wireless headphones,Beats Solo 4,6,157,5,1,0,0.0,4.7,837,120.24,wireless headphones
2025-01-01,wireless headphones,Sennheiser HD 450,7,127,15,3,0,0.0,3.5,594,186.65,wireless headphones
2025-01-01,wireless headphones,Anker Soundcore Q30,8,96,10,2,0,0.0,4.9,4572,73.69,wireless headphones
2025-01-01,wireless headphones,Samsung Galaxy Buds,9,97,3,0,0,0.0,3.6,2203,29.19,wireless headphones
2025-01-01,wireless headphones,Jabra Elite 85h,10,127,4,1,0,0.0,3.8,3768,51.43,wireless headphones
2025-01-02,wireless headphones,Bose QC Ultra,1,478,62,10,5,118.58,4.3,3468,182.96,wireless headphones
2025-01-02,wireless headphones,Sony WH-1000XM5,2,301,28,10,4,451.54,4.7,104,207.28,wireless headphones
2025-01-02,wireless headphones,Apple AirPods Max,3,208,22,6,2,128.73,3.2,3571,55.87,wireless headphones
2025-01-02,wireless headphones,Sennheiser HD 450,4,159,25,6,0,0.0,3.4,881,262.45,wireless headphones
2025-01-02,wireless headphones,JBL Tune 770,5,151,10,2,0,0.0,3.3,4354,276.36,wireless headphones
2025-01-02,wireless headphones,Anker Soundcore Q30,6,150,15,5,0,0.0,4.7,2529,79.44,wireless headphones
2025-01-02,wireless headphones,Beats Solo 4,7,113,7,1,0,0.0,3.1,4373,232.09,wireless headphones
2025-01-02,wireless headphones,Skullcandy Crusher,8,94,4,1,0,0.0,4.2,1745,279.38,wireless headphones
2025-01-02,wireless headphones,Jabra Elite 85h,9,125,3,1,0,0.0,4.3,3598,270.89,wireless headphones
2025-01-02,wireless headphones,Samsung Galaxy Buds,10,97,1,0,0,0.0,3.5,1814,12.09,wireless headphones
2025-01-03,wireless headphones,Sony WH-1000XM5,1,473,48,8,6,1044.2,3.5,3986,72.13,wireless headphones
2025-01-03,wireless headphones,Apple AirPods Max,2,285,35,7,4,486.4,3.9,3344,65.22,wireless headphones
2025-01-03,wireless headphones,Bose QC Ultra,3,207,21,7,2,182.11,3.1,816,27.58,wireless headphones
