date,user_id,segment,campaign,email_sent,opened,clicked,purchased,revenue,past_purchases,avg_order_value,days_since_last_purchase
2025-01-05,U1001,New User,Loyalty Reward,0,0,0,1,37.11,0,40.81,3
2025-02-13,U1002,VIP,New Arrival,0,0,0,1,84.06,49,92.61,6
2025-02-18,U1003,Frequent Buyer,Loyalty Reward,1,1,1,1,213.49,21,171.79,13
2025-03-23,U1004,Frequent Buyer,Welcome Series,0,0,0,0,0,11,158.02,4
2025-01-21,U1005,Regular,New Arrival,1,0,0,0,0,4,144.84,46
2025-01-28,U1006,VIP,Flash Deal,1,1,1,0,0,29,167.03,3
2025-01-18,U1007,Inactive,Welcome Series,1,0,0,0,0,0,114.71,358
2025-03-29,U1008,New User,Welcome Series,1,0,0,0,0,0,125.34,12
2025-03-06,U1009,VIP,Weekend Special,1,0,0,0,0,22,69.3,17
2025-01-03,U1010,Frequent Buyer,Welcome Series,0,0,0,1,187.86,20,191.4,15
2025-03-12,U1011,Frequent Buyer,Flash Deal,0,0,0,1,32.82,16,30.85,2
2025-01-16,U1012,VIP,Loyalty Reward,0,0,0,1,122.22,27,146.9,15
2025-02-05,U1013,New User,Summer Sale,1,0,0,0,0,0,145.95,1
2025-03-28,U1014,Regular,Win-Back,1,0,0,0,0,3,32.45,32
2025-02-01,U1015,New User,Welcome Series,0,0,0,0,0,1,50.44,17
2025-03-04,U1016,New User,Flash Deal,0,0,0,0,0,1,135.65,17
2025-01-20,U1017,Inactive,New Arrival,0,0,0,0,0,0,64.06,206
2025-01-24,U1018,Regular,Summer Sale,1,1,1,0,0,6,25.58,35
2025-01-27,U1019,Inactive,Welcome Series,1,0,0,0,0,2,129.59,349
2025-01-10,U1020,Frequent Buyer,Win-Back,1,1,0,1,97.05,30,99.59,15
2025-03-26,U1021,New User,New Arrival,1,1,0,0,0,0,169.24,22
2025-01-07,U1022,New User,Win-Back,1,1,0,0,0,0,147.76,6
2025-01-10,U1023,New User,Summer Sale,1,0,0,0,0,1,44.89,14
2025-03-29,U1024,Regular,Welcome Series,1,1,1,0,0,8,42.4,7
2025-03-31,U1025,Inactive,Welcome Series,1,1,0,0,0,0,19.59,270
2025-02-05,U1026,Regular,Win-Back,1,0,0,0,0,8,166.8,19
2025-01-05,U1027,Frequent Buyer,Loyalty Reward,1,1,1,0,0,25,76.26,15
2025-02-16,U1028,Frequent Buyer,Loyalty Reward,1,1,0,0,0,25,181.41,1
2025-01-25,U1029,VIP,Loyalty Reward,1,1,0,0,0,34,108.82,10
2025-03-28,U1030,Regular,Win-Back,0,0,0,0,0,5,68.08,55
2025-01-19,U1031,Inactive,Flash Deal,1,1,0,0,0,1,137.81,180
2025-01-14,U1032,New User,New Arrival,1,0,0,0,0,1,147.89,12
2025-02-26,U1033,VIP,Loyalty Reward,1,0,0,0,0,22,99.45,18
2025-03-22,U1034,VIP,Weekend Special,0,0,0,1,155.62,25,152.58,9
2025-02-22,U1035,Frequent Buyer,Summer Sale,0,0,0,1,30.9,19,29.91,7
2025-02-19,U1036,New User,Welcome Series,1,0,0,0,0,0,173.5,24
2025-01-17,U1037,Inactive,Weekend Special,0,0,0,0,0,1,104.84,267
2025-02-18,U1038,VIP,Summer Sale,1,1,1,1,37.85,16,30.53,6
2025-02-01,U1039,Frequent Buyer,Weekend Special,1,1,1,1,132.55,11,153.57,4
2025-03-16,U1040,New User,Welcome Series,1,1,0,0,0,0,127.09,30
2025-02-14,U1041,Inactive,Weekend Special,1,0,0,0,0,0,33.85,121
2025-03-08,U1042,New User,Win-Back,1,0,0,0,0,1,95.2,11
2025-03-01,U1043,VIP,Win-Back,1,1,0,1,78.15,32,74.63,9
2025-01-11,U1044,Frequent Buyer,Summer Sale,1,1,1,1,71.74,15,77.96,12
2025-02-24,U1045,Inactive,Win-Back,1,0,0,0,0,0,56.0,357
2025-03-03,U1046,Frequent Buyer,Flash Deal,1,1,0,0,0,18,37.32,2
2025-01-07,U1047,VIP,Welcome Series,1,1,0,1,100.91,29,81.76,5
2025-01-15,U1048,Inactive,Weekend Special,0,0,0,0,0,2,101.84,86
2025-03-19,U1049,Inactive,Summer Sale,0,0,0,0,0,2,43.07,103
2025-03-20,U1050,VIP,Loyalty Reward,1,0,0,1,216.27,43,183.07,10
2025-02-07,U1051,Regular,New Arrival,0,0,0,1,44.52,7,47.16,15
2025-03-24,U1052,Frequent Buyer,Summer Sale,1,1,1,1,133.39,30,160.75,11
2025-03-18,U1053,Frequent Buyer,Win-Back,1,1,1,1,133.64,12,144.45,9
2025-03-02,U1054,New User,Weekend Special,1,0,0,0,0,0,199.92,21
2025-01-21,U1055,Frequent Buyer,New Arrival,1,1,0,1,247.24,22,194.28,7
2025-02-22,U1056,VIP,New Arrival,0,0,0,1,79.24,31,74.81,1
2025-04-01,U1057,VIP,Summer Sale,1,1,0,0,0,28,64.41,4
2025-02-23,U1058,New User,New Arrival,1,0,0,0,0,0,134.83,4
2025-02-13,U1059,Regular,Welcome Series,0,0,0,0,0,6,185.55,52
2025-02-14,U1060,VIP,Loyalty Reward,0,0,0,1,200.76,34,169.93,15
2025-04-01,U1061,Inactive,Welcome Series,0,0,0,0,0,2,120.78,270
2025-01-13,U1062,Inactive,Weekend Special,0,0,0,0,0,0,193.49,229
2025-03-28,U1063,Inactive,Weekend Special,1,0,0,0,0,1,28.84,263
2025-02-26,U1064,Frequent Buyer,Summer Sale,1,1,1,1,56.22,26,58.43,4
2025-03-20,U1065,New User,Flash Deal,1,0,0,0,0,1,60.18,13
2025-01-10,U1066,Regular,Welcome Series,1,0,0,0,0,6,133.01,21
2025-03-15,U1067,VIP,Flash Deal,0,0,0,1,94.33,31,99.51,4
2025-02-06,U1068,Frequent Buyer,New Arrival,0,0,0,0,0,30,16.5,13
2025-02-09,U1069,Regular,New Arrival,1,0,0,1,137.92,3,140.39,54
2025-01-22,U1070,Regular,Loyalty Reward,1,1,0,0,0,4,47.49,55
2025-02-20,U1071,Frequent Buyer,Welcome Series,1,1,0,1,46.64,12,41.04,14
2025-03-24,U1072,Frequent Buyer,Loyalty Reward,1,1,0,0,0,29,139.84,10
2025-02-28,U1073,Frequent Buyer,Flash Deal,0,0,0,1,90.9,13,71.31,2
2025-02-26,U1074,VIP,Flash Deal,0,0,0,0,0,21,169.23,12
2025-03-24,U1075,Frequent Buyer,New Arrival,1,0,0,0,0,20,26.2,2
2025-02-12,U1076,New User,Weekend Special,1,0,0,0,0,1,27.69,24
2025-01-31,U1077,VIP,Summer Sale,1,1,1,1,52.99,49,61.37,5
2025-03-26,U1078,Inactive,Flash Deal,1,0,0,0,0,1,158.93,291
2025-01-09,U1079,New User,Loyalty Reward,1,1,0,0,0,0,105.7,29
2025-02-25,U1080,Frequent Buyer,New Arrival,1,1,1,1,111.43,25,108.53,13
2025-01-12,U1081,Inactive,Summer Sale,1,0,0,0,0,1,84.25,302
2025-02-06,U1082,Frequent Buyer,Weekend Special,1,0,0,1,129.49,10,118.91,7
2025-03-13,U1083,Regular,Flash Deal,0,0,0,0,0,7,79.77,28
2025-01-24,U1084,VIP,Welcome Series,1,0,0,0,0,32,20.36,11
2025-02-09,U1085,Inactive,Flash Deal,1,0,0,0,0,0,153.03,292
2025-02-23,U1086,VIP,Loyalty Reward,0,0,0,1,164.47,18,139.68,16
2025-01-27,U1087,New User,Summer Sale,1,1,1,1,104.35,1,112.48,9
2025-01-10,U1088,Frequent Buyer,Loyalty Reward,1,1,0,1,48.92,24,47.5,12
2025-03-21,U1089,New User,Welcome Series,1,0,0,0,0,1,146.26,13
2025-01-22,U1090,Frequent Buyer,Flash Deal,1,1,0,0,0,12,123.94,7
2025-03-01,U1091,Regular,Flash Deal,0,0,0,0,0,4,34.02,17
2025-03-22,U1092,VIP,Win-Back,0,0,0,1,163.93,35,174.89,3
2025-03-20,U1093,New User,New Arrival,1,0,0,0,0,1,98.6,1
2025-01-11,U1094,VIP,Summer Sale,1,1,1,1,75.89,27,74.48,15
2025-01-13,U1095,Inactive,Summer Sale,1,0,0,0,0,1,90.62,86
2025-02-09,U1096,Frequent Buyer,Loyalty Reward,1,0,0,0,0,11,184.6,12
