user_id,session_id,feature_used,time_spent_seconds,actions_count,returned_within_7d,purchased,revenue,user_type,sessions_last_30d,days_since_last_visit
16262,S428965,product_view,285,1,1,1,0,VIP,1,2
12974,S463278,filters,467,25,1,0,0,Power,1,0
10861,S449625,search,507,8,1,0,0,Inactive,1,68
12712,S758371,search,286,4,0,1,31.24,Inactive,1,66
12668,S212044,search,288,17,1,1,91.53,Regular,1,58
18079,S693534,cart,407,16,1,1,101.82,Regular,8,55
16838,S925564,reviews,544,15,1,0,0,Regular,17,18
16374,S482726,product_view,514,20,1,0,0,New,16,34
19275,S458314,notifications,167,24,0,0,0,New,16,79
14258,S810506,offers,5,12,1,0,0,Regular,2,65
14195,S164299,share,455,3,0,1,0,New,18,56
11860,S334669,notifications,327,18,1,0,0,New,13,47
15991,S818228,reviews,498,8,0,0,0,Inactive,2,77
10673,S879055,reviews,401,18,0,0,0,Inactive,3,87
12455,S183967,offers,243,5,1,0,0,Regular,27,64
13389,S705948,offers,512,17,1,1,195.8,Power,3,3
17753,S650195,share,200,23,1,1,0,VIP,0,6
13456,S367541,product_view,393,13,0,0,0,Regular,9,25
13723,S117213,share,558,4,1,1,85.02,VIP,26,4
19902,S985844,search,552,1,0,1,44.18,Inactive,2,63
15501,S884779,product_view,269,13,1,0,0,New,18,45
12084,S960127,reviews,590,21,1,1,0,VIP,24,3
18271,S932868,search,215,1,0,0,0,Inactive,1,26
14116,S121268,filters,450,20,1,0,0,Inactive,3,84
10052,S366314,search,473,9,0,0,0,Inactive,3,81
13614,S761195,recommendations,442,5,1,1,578.82,VIP,2,5
16618,S361921,filters,11,11,0,0,0,Inactive,2,6
16273,S911191,cart,127,20,1,1,0,Power,17,5
16913,S894616,filters,174,19,0,0,0,Inactive,2,47
17586,S828067,search,599,22,1,0,0,Inactive,2,51
14148,S177703,wishlist,423,12,1,0,0,Regular,5,16
18704,S566477,reviews,226,25,1,0,0,Regular,26,27
17064,S658484,product_view,331,10,1,0,0,New,23,58
11049,S489641,filters,53,13,1,0,0,VIP,1,6
13335,S682891,filters,598,23,0,0,0,New,9,47
13519,S668686,notifications,257,12,1,0,0,Power,13,2
19365,S510512,search,164,8,1,0,0,Regular,26,31
12441,S198239,cart,531,3,0,0,0,Inactive,0,33
19734,S560408,offers,13,17,1,0,0,Regular,29,71
14515,S214615,offers,468,23,0,0,0,New,14,76
13322,S251646,product_view,439,4,0,0,0,New,23,64
18955,S966052,offers,197,11,1,1,324.77,Power,24,3
17993,S793131,search,377,14,1,1,195.75,VIP,2,4
11708,S209325,filters,109,14,0,0,0,Inactive,0,37
15929,S659529,search,393,23,1,1,334.38,Power,30,1
15265,S653655,product_view,377,23,0,0,0,New,6,48
15799,S278579,reviews,373,12,1,0,0,Inactive,2,31
16806,S744169,notifications,313,4,1,1,464.38,VIP,24,5
10958,S673170,share,411,9,1,0,0,VIP,0,1
19326,S546694,offers,378,6,1,1,0,New,14,72
19732,S553875,offers,226,2,1,1,0,VIP,10,0
15619,S970792,product_view,102,21,0,0,0,Inactive,0,20
10175,S290926,notifications,328,20,1,1,0,VIP,12,0
18795,S160740,share,26,25,0,0,0,Regular,4,21
18574,S218192,share,35,24,0,0,0,Inactive,3,61
11414,S597413,recommendations,420,24,1,1,244.63,VIP,19,3
16549,S587280,reviews,32,19,0,0,0,New,8,13
12512,S606481,reviews,27,20,1,1,0,Regular,12,67
16678,S783891,offers,141,14,0,0,0,Inactive,3,31
17777,S947237,product_view,506,2,1,0,0,Regular,25,69
16241,S419602,recommendations,164,23,0,0,0,Inactive,0,38
13649,S772375,filters,8,14,0,0,0,Inactive,2,6
18128,S261619,filters,386,25,0,1,0,VIP,24,0
16176,S512081,search,56,15,1,0,0,Regular,4,1
13305,S140659,share,152,13,0,0,0,Inactive,0,50
11857,S469687,notifications,348,3,0,0,0,Regular,16,49
15536,S785229,recommendations,317,19,1,1,0,Power,26,1
10558,S550244,share,193,12,0,1,0,VIP,25,5
16990,S132131,reviews,277,5,1,0,0,Regular,3,45
11138,S107678,product_view,277,25,1,0,0,VIP,1,5
11999,S443297,cart,461,24,1,0,0,New,6,18
15475,S223661,notifications,365,8,1,1,296.47,Power,3,5
11488,S910951,offers,386,20,0,0,0,Regular,25,63
13554,S491381,offers,132,2,0,0,0,New,14,16
