order_id,product,category,quantity,unit_price,discount_percent,discount_amount,revenue,cogs,shipping_cost,returned,return_cost,support_ticket,support_cost,channel,marketing_cost,customer_segment,true_profit
55564,Wireless Earbuds Pro,Electronics,1,79,7.0,5.53,73.47,18,7.26,0,0,0,0,social_media,9.93,Returning,38.28
59935,Face Serum,Beauty,2,45,11.0,9.9,80.1,12,4.05,0,0,0,0,paid_ads,19.5,New Customer,44.55
55236,Wireless Earbuds Pro,Electronics,1,79,36.0,28.44,50.56,18,4.06,1,11.81,0,0,email,1.55,Discount Hunter,-30.36
60408,Running Shoes,Fashion,1,89,26.0,23.14,65.86,22,4.68,0,0,1,20.93,paid_ads,15.64,Discount Hunter,2.61
54018,Cotton T-Shirt Pack,Fashion,1,24,9.0,2.16,21.84,5,4.16,0,0,0,0,paid_ads,5.47,One-Time Buyer,7.21
58374,Resistance Bands Set,Health,1,22,44.0,9.68,12.32,4,7.14,0,0,0,0,paid_ads,3.78,Discount Hunter,-2.6
55085,Denim Jacket,Fashion,1,79,3.0,2.37,76.63,28,2.13,0,0,0,0,organic,0.0,Returning,46.5
62480,Cotton T-Shirt Pack,Fashion,1,24,0.0,0.0,24.0,5,2.24,0,0,0,0,email,0.93,Returning,15.83
62233,Perfume Set,Beauty,3,55,1.0,1.65,163.35,24,8.18,0,0,0,0,email,5.25,Returning,125.92
59863,Phone Case Premium,Electronics,1,29,7.0,2.03,26.97,3,3.04,0,0,0,0,paid_ads,8.58,Returning,12.35
62982,Running Shoes,Fashion,3,89,9.0,24.03,242.97,66,10.1,0,0,0,0,paid_ads,61.34,One-Time Buyer,105.53
57987,Wireless Earbuds Pro,Electronics,1,79,8.0,6.32,72.68,18,3.79,0,0,1,21.33,organic,0.0,New Customer,29.56
55077,Wireless Earbuds Pro,Electronics,1,79,9.0,7.11,71.89,18,4.46,0,0,0,0,email,2.11,Returning,47.32
55839,Smart Water Bottle,Health,1,45,3.0,1.35,43.65,14,6.4,0,0,0,0,email,1.55,VIP,21.7
52435,Sunglasses,Fashion,1,35,13.0,4.55,30.45,4,4.37,0,0,0,0,organic,0.0,New Customer,22.08
56132,Cotton T-Shirt Pack,Fashion,1,24,8.0,1.92,22.08,5,3.22,0,0,0,0,paid_ads,6.53,Returning,7.33
63968,Resistance Bands Set,Health,1,22,11.0,2.42,19.58,4,3.99,0,0,0,0,organic,0.0,One-Time Buyer,11.59
61681,Denim Jacket,Fashion,1,79,23.0,18.17,60.83,28,3.46,1,15.9,0,0,email,1.98,Discount Hunter,-43.26
53478,Phone Case Premium,Electronics,1,29,37.0,10.73,18.27,3,6.66,0,0,0,0,organic,0.0,Discount Hunter,8.61
62845,Phone Case Premium,Electronics,2,29,6.0,3.48,54.52,6,15.02,0,0,0,0,referral,3.53,Returning,29.97
63479,Wireless Earbuds Pro,Electronics,1,79,6.0,4.74,74.26,18,5.81,0,0,1,9.87,organic,0.0,New Customer,40.58
52522,Running Shoes,Fashion,2,89,7.0,12.46,165.54,44,8.46,0,0,1,13.64,organic,0.0,Returning,99.44
59833,Skincare Kit,Beauty,1,65,11.0,7.15,57.85,12,3.9,0,0,0,0,email,2.24,New Customer,39.71
64628,Sunglasses,Fashion,1,35,10.0,3.5,31.5,4,3.62,0,0,0,0,email,0.99,One-Time Buyer,22.89
57693,Wireless Earbuds Pro,Electronics,2,79,36.0,56.88,101.12,36,13.05,0,0,0,0,social_media,10.57,Discount Hunter,41.5
53642,Denim Jacket,Fashion,1,79,4.0,3.16,75.84,28,3.45,0,0,0,0,social_media,8.59,Returning,35.8
63501,Resistance Bands Set,Health,2,22,8.0,3.52,40.48,8,14.6,0,0,0,0,social_media,4.51,Returning,13.37
58325,Sunglasses,Fashion,1,35,10.0,3.5,31.5,4,2.9,0,0,0,0,organic,0.0,One-Time Buyer,24.6
50316,Resistance Bands Set,Health,1,22,0.0,0.0,22.0,4,4.42,0,0,0,0,social_media,2.77,Returning,10.81
55791,Wireless Earbuds Pro,Electronics,1,79,15.0,11.85,67.15,18,4.82,1,9.13,0,0,social_media,8.87,New Customer,-34.11
56138,Cotton T-Shirt Pack,Fashion,1,24,2.0,0.48,23.52,5,2.72,0,0,0,0,social_media,3.34,Returning,12.46
58027,Cotton T-Shirt Pack,Fashion,1,24,5.0,1.2,22.8,5,2.52,0,0,0,0,email,0.83,Returning,14.45
61691,Makeup Brush Set,Beauty,1,19,10.0,1.9,17.1,3,4.89,0,0,0,0,paid_ads,3.76,New Customer,5.45
53900,Sunglasses,Fashion,1,35,11.0,3.85,31.15,4,2.94,0,0,0,0,paid_ads,8.05,New Customer,16.16
64734,Bluetooth Speaker,Electronics,2,99,40.0,79.2,118.8,50,8.51,0,0,0,0,organic,0.0,Discount Hunter,60.29
58476,Bluetooth Speaker,Electronics,1,99,6.0,5.94,93.06,25,3.83,0,0,0,0,social_media,10.89,New Customer,53.34
64601,Smart Water Bottle,Health,2,45,14.0,12.6,77.4,28,8.93,0,0,0,0,email,2.46,New Customer,38.01
61285,Smart Water Bottle,Health,2,45,4.0,3.6,86.4,28,8.63,0,0,0,0,paid_ads,21.88,VIP,27.89
54455,Cotton T-Shirt Pack,Fashion,3,24,2.0,1.44,70.56,15,11.11,1,10.77,0,0,social_media,9.16,Returning,-38.98
51429,Resistance Bands Set,Health,1,22,11.0,2.42,19.58,4,4.63,0,0,0,0,social_media,2.58,New Customer,8.37
51485,Bluetooth Speaker,Electronics,1,99,5.0,4.95,94.05,25,5.22,0,0,1,20.07,organic,0.0,Returning,43.76
51519,Makeup Brush Set,Beauty,2,19,33.0,12.54,25.46,6,4.69,0,0,0,0,email,0.72,Discount Hunter,14.05
62316,Phone Case Premium,Electronics,1,29,14.0,4.06,24.94,3,7.69,0,0,0,0,social_media,3.58,New Customer,10.67
60872,Hair Dryer,Beauty,1,69,13.0,8.97,60.03,18,2.1,0,0,0,0,social_media,5.83,One-Time Buyer,34.1
60110,Smart Water Bottle,Health,2,45,5.0,4.5,85.5,28,11.25,0,0,1,20.49,paid_ads,17.64,VIP,8.12
51851,USB-C Hub,Electronics,1,49,44.0,21.56,27.44,12,3.85,1,10.3,0,0,referral,2.31,Discount Hunter,-25.72
60270,Hair Dryer,Beauty,3,69,31.0,64.17,142.83,54,12.65,0,0,0,0,organic,0.0,Discount Hunter,76.18
52718,Perfume Set,Beauty,3,55,13.0,21.45,143.55,24,9.18,0,0,0,0,social_media,21.46,New Customer,88.91
59966,Face Serum,Beauty,1,45,6.0,2.7,42.3,6,4.41,0,0,0,0,social_media,4.42,Returning,27.47
53437,Phone Case Premium,Electronics,3,29,5.0,4.35,82.65,9,19.86,0,0,0,0,paid_ads,23.48,New Customer,30.31
53649,Wireless Earbuds Pro,Electronics,1,79,6.0,4.74,74.26,18,6.22,1,10.06,0,0,organic,0.0,New Customer,-26.85
50823,Face Serum,Beauty,3,45,1.0,1.35,133.65,18,9.07,0,0,0,0,paid_ads,35.5,Returning,71.08
62744,Fitness Tracker,Health,1,79,7.0,5.53,73.47,22,3.12,0,0,0,0,social_media,8.5,Returning,39.85
53778,Makeup Brush Set,Beauty,1,19,6.0,1.14,17.86,3,3.5,0,0,0,0,social_media,2.53,One-Time Buyer,8.83
51391,Fitness Tracker,Health,3,79,3.0,7.11,229.89,66,11.97,0,0,1,9.29,paid_ads,56.96,VIP,85.67
54225,Phone Case Premium,Electronics,1,29,12.0,3.48,25.52,3,5.73,0,0,0,0,organic,0.0,New Customer,16.79
55931,Resistance Bands Set,Health,1,22,25.0,5.5,16.5,4,4.88,0,0,0,0,social_media,1.86,Discount Hunter,5.76
