customer_id,customer_archetype,acquisition_channel,join_date,first_order_value,first_order_discount_pct,first_order_category,total_orders,lifetime_revenue,avg_order_value,days_to_second_order,pages_viewed_first_30d,sessions_first_30d,email_opens_first_30d,items_browsed_first_30d,returns_count,support_tickets,days_since_last_order,churned,predicted_3yr_clv
37960,Loyal Regular,email,2024-02-28,49.83,3.0,Electronics,12,855.67,71.31,15,111,13,7,60,0,1,14,0,1969.69
31322,Promising New,referral,2024-12-14,18.72,15.0,Fashion,7,498.25,71.18,44,44,7,4,21,1,1,37,0,465.36
37768,One-and-Done,paid_ads,2024-08-31,24.68,11.0,Electronics,2,58.78,29.39,999,8,2,2,4,0,0,472,1,3.63
37342,Discount Addict,email,2024-03-06,37.87,33.0,Beauty,14,657.63,46.97,24,23,5,9,30,3,3,78,0,230.94
30375,Promising New,social_media,2024-05-03,35.34,14.0,Health,7,409.79,58.54,17,23,5,4,29,0,1,31,0,638.52
32115,Fading Away,paid_ads,2024-01-05,26.39,18.0,Beauty,8,243.3,30.41,36,21,7,2,25,0,0,115,0,50.17
37293,Promising New,paid_ads,2024-12-17,17.46,2.0,Health,4,406.2,101.55,30,73,6,5,17,0,0,55,0,429.63
33283,Discount Addict,paid_ads,2024-06-23,30.36,22.0,Beauty,13,578.98,44.54,31,60,13,6,20,2,1,18,1,19.09
34947,Discount Addict,paid_ads,2024-02-22,30.28,23.0,Beauty,15,769.47,51.3,46,34,16,10,20,2,0,16,0,553.66
36602,Future VIP,organic,2024-07-12,16.23,7.0,Fashion,23,7825.03,340.22,7,130,25,12,44,1,1,3,0,20498.59
31631,Future VIP,email,2024-12-05,36.63,1.0,Home,45,5985.99,133.02,19,43,16,6,20,1,1,15,0,29256.33
35332,Discount Addict,paid_ads,2024-02-05,20.59,27.0,Fashion,10,403.3,40.33,48,41,8,7,28,2,1,42,0,178.82
34007,One-and-Done,organic,2024-04-13,36.62,2.0,Electronics,1,36.62,36.62,0,14,2,0,6,0,0,432,1,3.53
37760,Fading Away,paid_ads,2024-03-12,51.15,0.0,Electronics,7,258.54,36.93,38,14,6,4,10,0,0,63,0,50.72
36627,Loyal Regular,social_media,2024-12-21,35.04,5.0,Electronics,20,1267.05,63.35,19,82,13,15,27,1,0,13,0,2328.94
36600,Discount Addict,organic,2024-03-01,31.31,42.0,Fashion,12,803.0,66.92,32,48,20,11,50,3,1,34,0,422.03
34527,Fading Away,social_media,2024-11-05,21.98,0.0,Electronics,9,698.07,77.56,58,17,11,1,11,1,0,194,0,229.36
33432,One-and-Done,social_media,2024-07-29,39.7,26.0,Electronics,2,15.45,7.72,999,18,3,2,4,0,0,333,1,1.22
37176,One-and-Done,email,2024-05-28,10.02,7.0,Fashion,1,10.02,10.02,0,13,3,0,9,0,0,421,1,0.7
33519,Promising New,social_media,2024-05-19,17.66,14.0,Home,6,369.2,61.53,41,64,10,7,35,1,0,29,1,12.87
35957,One-and-Done,paid_ads,2024-05-01,13.05,2.0,Electronics,1,13.05,13.05,0,19,3,0,7,0,0,102,1,0.95
37557,One-and-Done,social_media,2024-09-13,13.67,12.0,Fashion,1,13.67,13.67,0,13,1,0,5,1,0,197,1,0.77
36333,Loyal Regular,organic,2024-11-07,25.92,3.0,Beauty,16,2134.48,133.41,13,140,8,12,44,2,0,4,0,4884.31
32769,Loyal Regular,email,2024-05-22,41.45,2.0,Fashion,10,1829.68,182.97,20,117,19,11,58,0,0,8,0,4448.51
31058,Loyal Regular,organic,2024-07-26,57.35,3.0,Electronics,10,2393.01,239.3,14,72,8,6,47,1,0,18,0,4566.38
