listing_id,neighborhood,property_type,sqft,bedrooms,bathrooms,floor,year_built,condition,has_parking,has_gym,has_pool,has_doorman,metro_distance_miles,school_rating,crime_index,restaurants_nearby,park_access_score,noise_level,listing_price,price_per_sqft,estimated_fair_value,price_gap_percent,days_on_market,sold,predicted_1yr_appreciation
110930,Suburban Green,Studio,408,0,1,4,1989,Good,1,0,0,0,2.76,9,10,20,8,18,94000,230.39,91000,3.3,14,0,6.6
103425,Old Town,Penthouse,3146,2,2,23,1982,Good,1,1,0,0,1.51,5,55,70,2,65,2032000,645.9,2238000,-9.2,14,0,-2.8
107369,Westside Heights,Condo,1298,1,2,25,2010,Good,0,1,1,0,0.4,9,12,40,8,35,1067000,822.03,1007000,6.0,45,0,12.5
111631,Westside Heights,Condo,1532,3,2,7,1988,Renovated,0,0,0,0,0.68,9,12,40,8,35,1154000,753.26,1031000,11.9,63,0,9.7
103252,Downtown Core,Apartment,1160,2,1,4,2009,Average,1,1,0,0,0.46,6,45,85,3,78,487000,419.83,505000,-3.6,40,1,7.0
103854,Tech District,Townhouse,2239,3,3,3,2009,Good,0,1,0,0,0.36,7,20,55,4,50,1477000,659.67,1439000,2.6,33,1,16.2
106693,Lakefront,Condo,1027,1,2,11,2016,Renovated,1,0,0,0,1.22,9,8,25,10,15,760000,740.02,797000,-4.6,9,1,9.0
102191,Westside Heights,Townhouse,1745,3,3,2,2023,Average,0,1,0,1,0.58,9,12,40,8,35,1173000,672.21,1061000,10.6,100,0,12.6
103988,Tech District,Condo,1745,2,2,7,2021,Renovated,1,1,0,0,0.36,7,20,55,4,50,1184000,678.51,1227000,-3.5,12,1,12.2
108685,Old Town,Studio,505,0,1,17,2005,Renovated,0,0,0,0,1.97,5,55,70,2,65,124000,245.54,115000,7.8,39,1,-0.9
111989,Midtown East,Townhouse,1790,2,2,2,1994,Good,1,0,0,0,0.79,7,30,60,5,55,800000,446.93,871000,-8.2,6,1,10.6
104117,Riverside Park,Apartment,754,1,1,22,2015,Needs Work,1,0,1,1,0.58,8,18,35,9,25,277000,367.37,286000,-3.1,11,1,8.1
111408,Westside Heights,Studio,530,0,1,10,1985,Needs Work,1,1,0,0,0.23,9,12,40,8,35,188000,354.72,170000,10.6,45,1,9.5
110072,Midtown East,Penthouse,2262,2,2,39,2014,Good,0,1,1,0,0.68,7,30,60,5,55,2403000,1062.33,2622000,-8.4,1,0,5.2
109209,Industrial Edge,Apartment,1075,2,2,2,2023,Good,1,0,0,0,2.33,4,62,15,1,72,203000,188.84,182000,11.5,118,1,3.3
103393,Old Town,Condo,1466,3,1,7,2001,New,0,0,0,1,1.92,5,55,70,2,65,579000,394.95,541000,7.0,35,0,-0.9
104379,University Quarter,Townhouse,1936,2,3,1,1989,Good,1,0,0,0,0.61,8,25,65,6,60,832000,429.75,774000,7.5,26,1,5.8
111416,Old Town,Townhouse,1506,3,2,1,2007,Renovated,0,0,0,0,1.28,5,55,70,2,65,570000,378.49,539000,5.8,15,1,-5.0
108952,Tech District,Apartment,821,2,1,12,1991,Needs Work,0,0,0,1,0.55,7,20,55,4,50,346000,421.44,315000,9.8,106,0,16.5
105296,Old Town,Penthouse,1913,3,3,21,1961,Average,0,0,0,0,1.68,5,55,70,2,65,1076000,562.47,1078000,-0.2,33,1,-0.9
101888,Midtown East,Penthouse,3149,3,3,27,2015,Good,1,0,0,1,0.91,7,30,60,5,55,3479000,1104.8,3318000,4.9,14,1,10.4
100779,Midtown East,Condo,1401,3,2,5,1964,Average,0,0,0,0,0.77,7,30,60,5,55,561000,400.43,539000,4.1,38,1,9.9
100868,Tech District,Condo,1185,3,1,11,2024,Renovated,0,0,0,0,0.52,7,20,55,4,50,752000,634.6,785000,-4.2,17,1,15.9
109466,Downtown Core,Townhouse,1928,3,3,1,2006,Good,0,0,0,0,0.53,6,45,85,3,78,1064000,551.87,1073000,-0.8,27,0,7.7
101022,Riverside Park,Apartment,632,3,1,5,2007,Good,1,0,1,1,0.68,8,18,35,9,25,277000,438.29,301000,-8.0,27,1,9.5
111651,University Quarter,Apartment,813,2,1,2,2005,Good,1,0,0,0,0.84,8,25,65,6,60,251000,308.73,257000,-2.3,24,1,4.6
111247,Harbor View,Penthouse,2221,3,3,31,1993,Good,1,1,0,0,1.34,6,28,50,7,40,2541000,1144.08,2777000,-8.5,16,1,8.7
111966,Tech District,Condo,1606,3,1,4,1960,Average,0,1,0,1,0.74,7,20,55,4,50,817000,508.72,848000,-3.7,5,1,17.4
105410,Harbor View,Studio,357,0,1,10,1990,Renovated,0,0,1,0,0.79,6,28,50,7,40,137000,383.75,149000,-8.1,13,1,9.4
