date,day_of_week,is_weekend,is_holiday,season,weather_condition,temperature_f,humidity_pct,wind_mph,precipitation_inches,is_raining,is_snowing,business_type,revenue,customer_count,online_order_pct,cancellation_rate
2025-07-22,Tuesday,0,0,Summer,Sunny,87,90,30,0,0,0,Outdoor Events,3836.27,127,30,4.1
2025-04-19,Saturday,1,0,Spring,Sunny,67,52,4,0,0,0,Coffee Shop,3274.97,545,39,4.4
2025-11-17,Monday,0,0,Fall,Light Rain,50,68,24,0.01,1,0,Food Delivery,10152.45,461,86,2.6
2024-12-14,Saturday,1,0,Winter,Cloudy,45,67,25,0,0,0,Ice Cream / Cold Drinks,2812.08,351,39,2.7
2024-08-10,Saturday,1,0,Summer,Sunny,93,67,11,0,0,0,Ice Cream / Cold Drinks,5779.1,722,35,6.0
2024-11-16,Saturday,1,0,Fall,Heavy Rain,58,92,18,1.47,1,0,Movie Theater,8939.06,595,32,3.5
2025-01-05,Sunday,1,0,Winter,Heavy Rain,39,60,33,1.34,1,0,Ice Cream / Cold Drinks,1414.02,176,38,3.0
2024-01-22,Monday,0,0,Winter,Snow,28,52,32,2.32,0,1,Restaurant Dine-In,4475.21,99,37,23.0
2024-09-23,Monday,0,0,Fall,Foggy,50,39,31,0.15,0,0,Coffee Shop,2985.74,497,12,4.2
2025-03-26,Wednesday,0,0,Spring,Light Rain,71,44,34,0.06,1,0,Food Delivery,9492.67,431,85,4.0
2024-04-19,Friday,0,0,Spring,Sunny,64,68,33,0,0,0,E-Commerce,26557.55,482,95,4.2
2024-12-07,Saturday,1,0,Winter,Light Rain,26,69,22,0.23,1,0,Food Delivery,11953.86,543,91,5.4
2024-09-08,Sunday,1,0,Fall,Windy,68,35,30,0,0,0,Gym / Fitness,4204.06,113,36,5.2
2025-01-05,Sunday,1,0,Winter,Heavy Rain,39,60,33,1.34,1,0,Retail Store,13088.01,373,31,7.0
2025-05-26,Monday,0,0,Spring,Cloudy,73,36,8,0,0,0,Restaurant Dine-In,11984.97,266,6,3.1
2025-01-06,Monday,0,0,Winter,Thunderstorm,24,56,17,0.67,1,0,Retail Store,10777.62,307,29,6.2
2024-11-21,Thursday,0,0,Fall,Heavy Rain,59,85,27,1.11,1,0,Movie Theater,6938.32,462,24,2.0
2025-12-16,Tuesday,0,0,Winter,Light Rain,44,40,8,0.04,1,0,Ice Cream / Cold Drinks,1840.79,230,36,6.1
2025-08-19,Tuesday,0,0,Summer,Clear & Cold,78,43,29,0,0,0,Gym / Fitness,4350.74,158,40,5.5
2025-07-12,Saturday,1,0,Summer,Sunny,88,38,22,0,0,0,Movie Theater,8896.14,593,39,2.4
2025-06-30,Monday,0,0,Summer,Sunny,88,51,2,0,0,0,Food Delivery,9931.05,451,91,6.5
2025-09-03,Wednesday,0,0,Fall,Windy,55,70,32,0,0,0,E-Commerce,25616.03,465,100,7.1
