order_id,line_item_id,product_sku,product_name,product_category,variant_title,quantity,unit_price,line_total
NB-5001,LI-00001,CB-006,Espresso Roast Whole Bean,Coffee Beans,,2,17.49,34.98
NB-5001,LI-00002,AC-005,NovaBrew Canvas Tote Bag,Accessories,,2,19.99,39.98
NB-5002,LI-00003,EQ-004,Manual Ceramic Burr Grinder,Brewing Equipment,,1,54.99,54.99
NB-5002,LI-00004,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,1,19.99,19.99
NB-5002,LI-00005,CB-007,Decaf Colombian Swiss Water,Coffee Beans,,3,16.99,50.97
NB-5003,LI-00006,CB-008,Limited Edition Guatemala Antigua,Coffee Beans,,1,24.99,24.99
NB-5003,LI-00007,AC-005,NovaBrew Canvas Tote Bag,Accessories,,4,19.99,79.96
NB-5004,LI-00008,CB-006,Espresso Roast Whole Bean,Coffee Beans,,2,17.49,34.98
NB-5004,LI-00009,CB-003,Sumatra Mandheling Dark Roast,Coffee Beans,,1,17.99,17.99
NB-5005,LI-00010,AC-002,Insulated Travel Tumbler (16oz),Accessories,,2,24.99,49.98
NB-5005,LI-00011,CB-001,Ethiopian Yirgacheffe Single Origin,Coffee Beans,,4,18.99,75.96
NB-5005,LI-00012,EQ-001,Ceramic Pour-Over Dripper,Brewing Equipment,,1,24.99,24.99
NB-5006,LI-00013,SUB-001,Monthly Bean Box (2 bags),Subscriptions,,1,32.99,32.99
NB-5006,LI-00014,EQ-001,Ceramic Pour-Over Dripper,Brewing Equipment,,4,24.99,99.96
NB-5006,LI-00015,CB-008,Limited Edition Guatemala Antigua,Coffee Beans,,4,24.99,99.96
NB-5006,LI-00016,EQ-004,Manual Ceramic Burr Grinder,Brewing Equipment,,3,54.99,164.97
NB-5006,LI-00017,CB-008,Limited Edition Guatemala Antigua,Coffee Beans,,1,24.99,24.99
NB-5007,LI-00018,AC-003,Reusable Stainless Steel Filter,Accessories,,2,12.99,25.98
NB-5007,LI-00019,AC-007,Coffee Bean Storage Canister,Accessories,,3,22.99,68.97
NB-5007,LI-00020,EQ-001,Ceramic Pour-Over Dripper,Brewing Equipment,,1,24.99,24.99
NB-5007,LI-00021,CB-001,Ethiopian Yirgacheffe Single Origin,Coffee Beans,,1,18.99,18.99
NB-5008,LI-00022,EQ-003,Glass Cold Brew Maker (1.5L),Brewing Equipment,,2,29.99,59.98
NB-5008,LI-00023,AC-001,NovaBrew Ceramic Mug (12oz),Accessories,,2,14.99,29.98
NB-5008,LI-00024,EQ-002,Stainless Steel French Press (34oz),Brewing Equipment,,1,34.99,34.99
NB-5009,LI-00025,EQ-005,Electric Gooseneck Kettle (1.2L),Brewing Equipment,,1,69.99,69.99
NB-5009,LI-00026,AC-008,Latte Art Pitcher (12oz),Accessories,,3,16.99,50.97
NB-5009,LI-00027,AC-004,Precision Coffee Scale with Timer,Accessories,,3,29.99,89.97
NB-5010,LI-00028,AC-004,Precision Coffee Scale with Timer,Accessories,,2,29.99,59.98
NB-5011,LI-00029,EQ-005,Electric Gooseneck Kettle (1.2L),Brewing Equipment,,1,69.99,69.99
NB-5011,LI-00030,EQ-005,Electric Gooseneck Kettle (1.2L),Brewing Equipment,,2,69.99,139.98
NB-5011,LI-00031,AC-001,NovaBrew Ceramic Mug (12oz),Accessories,,1,14.99,14.99
NB-5012,LI-00032,CB-008,Limited Edition Guatemala Antigua,Coffee Beans,,1,24.99,24.99
NB-5012,LI-00033,EQ-002,Stainless Steel French Press (34oz),Brewing Equipment,,3,34.99,104.97
NB-5012,LI-00034,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,4,19.99,79.96
NB-5012,LI-00035,CB-007,Decaf Colombian Swiss Water,Coffee Beans,,1,16.99,16.99
NB-5012,LI-00036,SUB-002,Quarterly Discovery Box (6 bags + surprise),Subscriptions,,1,89.99,89.99
NB-5013,LI-00037,SUB-002,Quarterly Discovery Box (6 bags + surprise),Subscriptions,,2,89.99,179.98
NB-5013,LI-00038,EQ-005,Electric Gooseneck Kettle (1.2L),Brewing Equipment,,1,69.99,69.99
NB-5013,LI-00039,CB-008,Limited Edition Guatemala Antigua,Coffee Beans,,1,24.99,24.99
NB-5013,LI-00040,CB-002,Colombian Supremo Blend,Coffee Beans,,1,16.99,16.99
NB-5013,LI-00041,AC-001,NovaBrew Ceramic Mug (12oz),Accessories,,1,14.99,14.99
